q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
Somewhat disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat agree,Strongly Agree
Agree,Somewhat agree,Agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree
Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Agree,Somewhat disagree,Agree,Disagree,Somewhat agree
Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree
Strongly Disagree,Agree,Agree,Disagree,Agree,Somewhat agree,Strongly Agree,Somewhat agree,Disagree,Agree,Strongly Agree,Somewhat disagree,Somewhat agree
Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Agree,Agree,Strongly Agree,Somewhat disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree
Somewhat disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
Somewhat agree,,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree
Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
Agree,Agree,Strongly Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Agree
Strongly Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Disagree,Agree
Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree
Somewhat agree,Strongly Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat agree,Agree
Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Somewhat agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Disagree,Somewhat agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Strongly Agree,Strongly Disagree,Agree
Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree
Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree
Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Agree,Disagree,Somewhat agree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree
Strongly Agree,Strongly Agree,Somewhat disagree,Disagree,Strongly Disagree,Somewhat agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree
Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree
Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Strongly Agree,Strongly Disagree,Agree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly Agree,Strongly Disagree,Agree
Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree
Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly Disagree,Agree
Strongly Disagree,Somewhat agree,Strongly Agree,Strongly Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Agree
Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree
Strongly Disagree,Somewhat disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly Disagree,Somewhat agree
Somewhat disagree,Disagree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Strongly Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree
Strongly Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly Disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Strongly Disagree,Disagree
Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat agree,Agree
Disagree,Somewhat agree,Agree,Strongly Agree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly Disagree,Somewhat agree
Agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree
Somewhat agree,Disagree,Somewhat agree,,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,
Somewhat agree,Agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat disagree,Disagree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree
Strongly Disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly Agree,Disagree,Agree
Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat agree,Disagree,Strongly Agree,Disagree,Strongly Agree
Disagree,Strongly Agree,Strongly Disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly Disagree,Disagree,Somewhat disagree,Strongly Agree,Agree,Somewhat disagree
Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Disagree,,Somewhat agree,Strongly Agree
Disagree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat disagree
Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Disagree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree
Strongly Disagree,Disagree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Disagree,Disagree,Strongly Agree
Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Strongly Disagree,Agree,Somewhat disagree,Somewhat agree
Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat agree
Disagree,Strongly Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree
Disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree
Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Disagree,Disagree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Strongly Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Agree
Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly Disagree,Agree,Somewhat disagree,Disagree
Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Agree,Agree,Disagree
Somewhat disagree,Disagree,Agree,Agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat agree
Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly Disagree
Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat agree
Strongly Agree,Strongly Agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree
Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Strongly Disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat disagree,Somewhat agree
Strongly Agree,Strongly Agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree
Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Somewhat disagree
Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Agree,Somewhat disagree,Agree
Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree
Somewhat disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,,Somewhat agree,Somewhat agree,Agree,Strongly Agree
Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat disagree
Agree,Disagree,Strongly Agree,Somewhat disagree,Strongly Agree,Somewhat agree,,,Somewhat agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat disagree
Agree,Disagree,Strongly Agree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Disagree,,Strongly Agree,Strongly Disagree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly Disagree,Strongly Agree
Agree,Agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree
Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Agree,Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Agree,Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Agree,Disagree,Somewhat agree,Strongly Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Strongly Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,Strongly Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree
Disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,Strongly Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree
Disagree,Strongly Disagree,Somewhat agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree
Disagree,Somewhat agree,Somewhat agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Strongly Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat agree
Strongly Agree,Agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat agree
Strongly Agree,Agree,Somewhat disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat disagree,Strongly Agree,Somewhat agree
Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree
Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Somewhat agree,Strongly Agree
Agree,Disagree,Somewhat agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree
Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Strongly Disagree,Somewhat agree,Disagree,Agree
Somewhat agree,Strongly Disagree,Somewhat agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Strongly Disagree
Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
Disagree,Somewhat disagree,Strongly Agree,Agree,Strongly Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree
Somewhat disagree,Disagree,Agree,Agree,Strongly Agree,Somewhat agree,Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Agree
Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree
Somewhat disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Strongly Agree,Strongly Disagree,Agree
Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat agree,Agree,Somewhat agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree
Somewhat agree,Somewhat disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Somewhat agree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Strongly Disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree
Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat disagree,Agree
Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Agree
Agree,Agree,Agree,Somewhat agree,Disagree,Agree,Agree,Agree,Strongly Agree,Somewhat agree,Agree,Strongly Agree,Somewhat agree
Somewhat disagree,Somewhat disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree
Strongly Disagree,Somewhat disagree,Strongly Agree,Somewhat agree,Strongly Agree,Agree,Strongly Agree,Somewhat agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree
Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree
Strongly Disagree,Disagree,Somewhat disagree,Strongly Agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree
Strongly Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly Agree,Disagree,Agree
Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,,Disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Strongly Agree,Somewhat agree,Strongly Agree
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree
Strongly Disagree,Somewhat agree,Agree,Strongly Agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree
Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree
Somewhat agree,Disagree,Strongly Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly Disagree,Somewhat disagree,Disagree,Disagree
Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree
Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree
Somewhat disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Somewhat disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Strongly Disagree,Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Disagree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat agree,Strongly Agree,Agree,Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Agree
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Strongly Agree,Disagree,Strongly Agree
Agree,Strongly Agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree
Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree
Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
Strongly Disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly Agree,Somewhat agree,Strongly Disagree,Strongly Agree
Strongly Agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Agree,Disagree,Agree
Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Strongly Agree
Somewhat agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Strongly Agree,Somewhat disagree
Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly Agree,Disagree,Somewhat agree
Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Somewhat agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree
Strongly Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly Disagree,Somewhat disagree,,Agree,Somewhat disagree,Strongly Agree,Somewhat disagree,Somewhat disagree
Somewhat agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat agree,Disagree,Strongly Agree,Strongly Agree,Agree
Somewhat disagree,Somewhat agree,Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Agree,Strongly Disagree,Agree
Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Somewhat agree
Strongly Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree
Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree
